2020-11-14 02:00:15.404080 - ['R', '-50'] - RecursionError
2020-11-15 22:32:15.868137 - ['1.203r', 'K'] - 30 °C(K)
2020-11-15 22:32:15.868237 - ['130', 'K'] - 5.328 mV(K)
2020-11-15 22:32:15.868342 - ['130.0t', 'K'] - 5.328 mV(K)
2020-11-15 22:32:15.868435 - ['5.328', 'K'] - 130 °C(K)
2020-11-15 22:32:15.868545 - ['5.328r', 'K'] - 130 °C(K)
2020-11-15 22:32:15.868646 - ['230', 'K'] - 9.343 mV(K)
2020-11-15 22:32:15.868751 - ['230.0t', 'K'] - 9.343 mV(K)
2020-11-15 22:32:15.868845 - ['9.343', 'K'] - 230 °C(K)
2020-11-15 22:32:15.868948 - ['9.343r', 'K'] - 230 °C(K)
2020-11-15 22:32:15.869049 - ['330', 'K'] - 13.457 mV(K)
2020-11-15 22:32:15.869161 - ['330.0t', 'K'] - 13.457 mV(K)
2020-11-15 22:32:15.869257 - ['13.457', 'K'] - 330 °C(K)
2020-11-15 22:32:15.869362 - ['13.457r', 'K'] - 330 °C(K)
2020-11-15 22:32:15.869462 - ['430', 'K'] - 17.667 mV(K)
2020-11-15 22:32:15.869567 - ['430.0t', 'K'] - 17.667 mV(K)
2020-11-15 22:32:15.869661 - ['17.667', 'K'] - 430 °C(K)
2020-11-15 22:32:15.869766 - ['17.667r', 'K'] - 430 °C(K)
2020-11-15 22:32:15.869876 - ['530', 'K'] - 21.924 mV(K)
2020-11-15 22:32:15.869985 - ['530.0t', 'K'] - 21.924 mV(K)
2020-11-15 22:32:15.870079 - ['21.924', 'K'] - 530 °C(K)
2020-11-15 22:32:15.870183 - ['21.924r', 'K'] - 530 °C(K)
2020-11-15 22:32:15.870292 - ['630', 'K'] - 26.179 mV(K)
2020-11-15 22:32:15.870400 - ['630.0t', 'K'] - 26.179 mV(K)
2020-11-15 22:32:15.870495 - ['26.179', 'K'] - 630 °C(K)
2020-11-15 22:32:15.870599 - ['26.179r', 'K'] - 630 °C(K)
2020-11-15 22:32:15.870705 - ['730', 'K'] - 30.382 mV(K)
2020-11-15 22:32:15.870815 - ['730.0t', 'K'] - 30.382 mV(K)
2020-11-15 22:32:15.870909 - ['30.382', 'K'] - 730 °C(K)
2020-11-15 22:32:15.871013 - ['30.382r', 'K'] - 730 °C(K)
2020-11-15 22:32:15.871124 - ['830', 'K'] - 34.501 mV(K)
2020-11-15 22:32:15.871233 - ['830.0t', 'K'] - 34.501 mV(K)
2020-11-15 22:32:15.871328 - ['34.501', 'K'] - 830 °C(K)
2020-11-15 22:32:15.871431 - ['34.501r', 'K'] - 830 °C(K)
2020-11-15 22:32:15.871536 - ['930', 'K'] - 38.522 mV(K)
2020-11-15 22:32:15.871643 - ['930.0t', 'K'] - 38.522 mV(K)
2020-11-15 22:32:15.871737 - ['38.522', 'K'] - 930 °C(K)
2020-11-15 22:32:15.871841 - ['38.522r', 'K'] - 930 °C(K)
2020-11-15 22:32:15.871946 - ['1030', 'K'] - 42.44 mV(K)
2020-11-15 22:32:15.872055 - ['1030.0t', 'K'] - 42.44 mV(K)
2020-11-15 22:32:15.872149 - ['42.44', 'K'] - 1030 °C(K)
2020-11-15 22:32:15.872252 - ['42.44r', 'K'] - 1030 °C(K)
2020-11-15 22:32:15.872359 - ['1130', 'K'] - 46.249 mV(K)
2020-11-15 22:32:15.872470 - ['1130.0t', 'K'] - 46.249 mV(K)
2020-11-15 22:32:15.872565 - ['46.249', 'K'] - 1130 °C(K)
2020-11-15 22:32:15.872668 - ['46.249r', 'K'] - 1130 °C(K)
2020-11-15 22:32:15.872773 - ['1230', 'K'] - 49.926 mV(K)
2020-11-15 22:32:15.872880 - ['1230.0t', 'K'] - 49.926 mV(K)
2020-11-15 22:32:15.872974 - ['49.926', 'K'] - 1230 °C(K)
2020-11-15 22:32:15.873077 - ['49.926r', 'K'] - 1230 °C(K)
2020-11-15 22:32:15.873256 - ['1330', 'K'] - 53.451 mV(K)
2020-11-15 22:32:15.873368 - ['1330.0t', 'K'] - 53.451 mV(K)
2020-11-15 22:32:15.873462 - ['53.451', 'K'] - 1330 °C(K)
2020-11-15 22:32:15.873566 - ['53.451r', 'K'] - 1330 °C(K)
2020-11-15 22:32:15.874470 - ['-200', 'N'] - -3.99 mV(N)
2020-11-15 22:32:15.874580 - ['-200.0t', 'N'] - -3.99 mV(N)
2020-11-15 22:32:15.874676 - ['-3.99', 'N'] - -200 °C(N)
